NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
M4A1-S | Cyrex,Minimal Wear,olofmeister (Foil) | Boston 2018,FaZe Clan (Foil) | Boston 2018,,,730_2_27534119406,https://steamcommunity.com/profiles/76561199196797981/inventory/#730_2_27534119406
Tec-9 | Toxic,Field-Tested,FaZe Clan | Cologne 2016,,,,730_2_27425869714,https://steamcommunity.com/profiles/76561199196797981/inventory/#730_2_27425869714
AWP | Asiimov,Battle-Scarred,Cloud9 | Antwerp 2022,Team EnVyUs | Katowice 2015,kennyS | Cologne 2015,Cloud9 | Krakow 2017,730_2_27584515452,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27584515452
G3SG1 | The Executioner,Battle-Scarred,Ninjas in Pyjamas | Cologne 2016,SK Gaming | Cologne 2016,Team Dignitas | Cologne 2016,mousesports | Cologne 2016,730_2_27578775212,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27578775212
AK-47 | Red Laminate,Field-Tested,Baby Howl,Howling Dawn,,,730_2_27578648303,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27578648303
M4A4 | Buzz Kill,Field-Tested,GODSENT | Atlanta 2017,Natus Vincere | Katowice 2015,fer | Katowice 2019,Natus Vincere | Boston 2018,730_2_27569257094,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27569257094
M4A1-S | Basilisk,Field-Tested,Team EnVyUs | Katowice 2015,Team EnVyUs | Katowice 2015,Team EnVyUs | Katowice 2015,,730_2_27543547929,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27543547929
StatTrak™ AK-47 | Fuel Injector,Field-Tested,ropz (Gold,Champion) | Antwerp 2022,Fnatic | Katowice 2015,Fnatic | Katowice 2015,730_2_27538154862,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27538154862
StatTrak™ FAMAS | Survivor Z,Minimal Wear,FaZe Clan | Cologne 2016,,,,730_2_27579787649,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27579787649
USP-S | Orion,Minimal Wear,Fnatic (Foil) | Katowice 2015,Dragon Lore (Foil),GODSENT | Atlanta 2017,Stone Scales (Foil),730_2_27573817306,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27573817306
AK-47 | Bloodsport,Factory New,Splyce (Holo) | MLG Columbus 2016,Splyce (Holo) | MLG Columbus 2016,Splyce (Holo) | MLG Columbus 2016,iBUYPOWER | Cologne 2014,730_2_27573817300,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27573817300
AK-47 | The Empress,Field-Tested,Lambda (Holo),Battle Scarred (Holo),rain (Holo,Champion) | Antwerp 2022,730_2_27535881001,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27535881001
AWP | Redline,Field-Tested,Lambda (Holo),Vega Squadron (Holo) | Krakow 2017,Astralis (Holo) | Stockholm 2021,broky (Holo) | Antwerp 2022,730_2_27535880997,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27535880997
AWP | Redline,Field-Tested,mousesports | MLG Columbus 2016,FaZe Clan | MLG Columbus 2016,Xyp9x | Cologne 2016,FaZe Clan | MLG Columbus 2016,730_2_27532339523,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27532339523
StatTrak™ AUG | Amber Slipstream,Field-Tested,Golden | Berlin 2019,,,,730_2_27527903786,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27527903786
StatTrak™ M4A1-S | Cyrex,Minimal Wear,Astralis (Glitter) | Antwerp 2022,mousesports (Foil) | Cologne 2015,Astralis (Glitter) | Antwerp 2022,Kjaerbye (Foil) | Krakow 2017,730_2_27522909066,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27522909066
USP-S | Guardian,Minimal Wear,COLDYY1 (Foil) | London 2018,CS20 Classic (Holo),Shattered Web,,730_2_27505977892,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27505977892
M4A1-S | Golden Coil,Minimal Wear,Dragon Lore (Foil),,,,730_2_27578421677,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_27578421677
StatTrak™ AK-47 | Redline,Field-Tested,Astralis | Cologne 2016,Astralis | Cologne 2016,Astralis | Cologne 2016,Astralis | Cologne 2016,730_2_27569958393,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_27569958393
StatTrak™ AWP | Neo-Noir,Field-Tested,Miami Skill Surf (Holo),Vega Squadron (Holo) | Boston 2018,Vega Squadron (Holo) | Boston 2018,Kawaii CT (Holo),730_2_27548804405,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_27548804405
AK-47 | Predator,Field-Tested,Natus Vincere | Katowice 2015,,,,730_2_27550991383,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27550991383
AK-47 | Slate,Field-Tested,Golden | Berlin 2019,RpK | Berlin 2019,nitr0 | Berlin 2019,qikert | Berlin 2019,730_2_27550899581,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27550899581
P90 | Trigon,Minimal Wear,Ninjas in Pyjamas  | Katowice 2015,Lucky 13,,,730_2_27549925764,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27549925764
